ID,TARGET
1,0
10,0
100,0
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
11,1
110,0
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,1
119,0
12,1
120,0
121,1
122,1
123,0
124,1
125,0
126,0
127,1
128,1
129,0
13,0
130,0
131,0
132,1
133,1
134,0
135,1
136,1
137,1
138,1
139,0
14,0
140,0
141,1
142,1
143,0
144,1
145,0
146,0
147,1
148,1
149,0
15,1
150,0
151,1
152,0
153,0
154,1
155,1
156,1
157,1
158,1
159,0
16,1
160,0
161,1
162,0
163,1
164,1
165,0
166,1
167,0
168,1
169,1
17,1
170,1
171,1
172,1
173,0
174,1
175,1
176,0
177,0
178,0
179,1
18,1
180,1
181,0
182,1
183,1
184,1
185,1
186,1
187,0
188,0
189,1
19,0
190,1
191,0
192,1
193,1
194,1
195,0
196,1
197,0
198,1
199,1
2,1
20,1
200,0
201,1
202,0
203,0
204,0
205,1
206,0
207,0
208,1
209,0
21,1
210,1
211,1
212,1
213,1
214,1
215,1
216,0
217,1
218,1
219,1
22,1
220,1
221,1
222,0
223,1
224,0
225,1
226,0
227,1
228,0
229,1
23,0
230,1
231,1
232,1
233,1
234,0
235,0
236,1
237,1
238,0
239,1
24,1
240,0
241,1
242,0
243,1
244,0
245,1
246,0
247,1
248,1
249,1
25,1
250,1
251,0
252,1
253,0
254,1
255,0
256,1
257,0
258,1
259,1
26,0
260,1
261,1
262,0
263,1
264,1
265,1
266,0
267,1
268,0
269,1
27,1
270,0
271,1
272,0
273,0
274,1
275,1
276,1
277,1
278,0
279,0
28,1
280,1
281,1
282,1
283,0
284,1
285,1
286,1
287,0
288,1
289,1
29,0
290,1
291,1
292,1
293,1
294,1
295,0
296,1
297,1
298,1
299,0
3,1
30,0
300,1
301,1
302,0
303,0
304,0
305,0
306,1
307,1
308,0
309,1
31,1
310,0
311,1
312,1
313,0
314,0
315,1
316,1
317,0
318,0
319,1
32,0
320,0
321,1
322,1
323,1
324,1
325,1
326,1
327,0
328,1
329,1
33,1
330,1
331,1
332,0
333,0
334,1
335,1
336,1
337,0
338,0
339,1
34,0
340,1
341,0
342,1
343,0
344,1
345,0
346,1
347,1
348,1
349,0
35,0
350,1
351,0
352,1
353,1
354,0
355,1
356,1
357,0
358,1
359,1
36,1
360,1
361,1
362,1
363,1
364,1
365,1
366,0
367,0
368,1
369,1
37,0
370,0
371,1
372,0
373,0
374,0
375,1
376,0
377,1
378,0
379,0
38,1
380,0
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,0
389,1
39,1
390,0
391,1
392,1
393,1
394,0
395,1
396,1
397,1
398,1
399,1
4,0
40,1
400,0
41,0
42,1
43,0
44,1
45,1
46,0
47,0
48,1
49,0
5,1
50,1
51,0
52,0
53,0
54,1
55,0
56,1
57,0
58,0
59,0
6,1
60,1
61,0
62,1
63,1
64,0
65,0
66,1
67,1
68,0
69,1
7,1
70,1
71,0
72,0
73,0
74,0
75,0
76,1
77,1
78,1
79,1
8,1
80,1
81,0
82,1
83,1
84,0
85,1
86,0
87,0
88,0
89,0
9,1
90,1
91,0
92,0
93,0
94,0
95,0
96,1
97,0
98,1
99,1
